name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
Restrung East Nashville Condo,146.0,District 6,Entire home/apt,3,6,2.0,3.0,2.0,bath
"Big cozy house w/pool, near airport",238.0,District 13,Entire home/apt,30,8,3.0,5.0,3.0,bath
12South Charmer. Guest Cottage ideal for ext. stay,75.0,District 17,Entire home/apt,30,2,1.0,1.0,1.0,bath
"Charming flat in heart of Nashville, Sylvan Park",120.0,District 24,Entire home/apt,1,3,1.0,-1.0,1.0,bath
Loft Style Studio - CLOSE TO DOWNTOWN NASHVILLE,65.0,District 16,Private room,31,2,1.0,1.0,1.0,private bath
Cozy Bungalow,60.0,District 6,Entire home/apt,2,4,2.0,2.0,1.0,bath
"Plenty of Space, Private Entrance",104.0,District 4,Entire home/apt,1,6,1.0,4.0,1.0,bath
Cute Cottage Style East Nashville Home Close To Downtown,105.0,District 5,Entire home/apt,1,6,2.0,3.0,2.0,bath
East Nashville Guesthouse with a Relaxed Style,109.0,District 6,Entire home/apt,2,4,1.0,1.0,1.0,bath
Massive Palace Close to Downtown!,724.0,District 19,Entire home/apt,2,12,4.0,7.0,2.5,bath
Amazing Master Suite -- Heart of East Nashville,213.0,District 6,Private room,2,4,1.0,1.0,1.5,shared bath
Five Star Buena Vista East Nashville Loft,152.0,District 6,Entire home/apt,3,2,1.0,1.0,1.0,bath
East Nashville Jewel,197.0,District 6,Private room,1,2,1.0,1.0,1.5,shared bath
Stay in Style Where the Musicians Live,335.0,District 6,Entire home/apt,1,10,3.0,5.0,3.0,bath
*FABULOUS NEW HOMES(S) CLOSE TO BROADWAY** 2,336.0,District 5,Entire home/apt,2,12,4.0,10.0,3.0,bath
Historic Suite in East Nashville,119.0,District 6,Private room,2,2,1.0,1.0,1.0,private bath
Cute East Nashville Pad,130.0,District 5,Entire home/apt,2,5,2.0,2.0,1.0,bath
"Heidtke House, A Rare Find & Featured on TV!",217.0,District 15,Entire home/apt,5,8,3.0,5.0,2.0,bath
3BR Home - Close to Downtown - Family Friendly,273.0,District 5,Entire home/apt,2,6,3.0,4.0,1.0,bath
Beautiful Home Very Close to Downtown,225.0,District 23,Entire home/apt,3,6,3.0,3.0,1.0,bath
Best East Nashville Location - 3000ft2 Classic,335.0,District 6,Entire home/apt,3,8,4.0,5.0,3.5,bath
DOUBLE DECKER 3-STORY HOME ★ 360 ROOFTOP VIEWS!,334.0,District 19,Entire home/apt,2,10,3.0,8.0,3.5,bath
Family Home Downtown Nashville,217.0,District 19,Entire home/apt,2,10,4.0,5.0,2.0,bath
"Luxurious Private Studio, 10 min to downtown",146.0,District 25,Entire home/apt,2,4,1.0,2.0,1.0,bath
Bright on Broadway!,56.0,District 19,Entire home/apt,1,4,1.0,1.0,1.0,bath
